,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
1130,1131,4574793,32,20,1,2,0,42,50,13,6,11,1
1131,1132,5823407,68,8,1,2,0,1,121,28,8,14,1
1132,1133,8143512,31,7,1,2,0,23,293,22,6,14,1
1133,1134,5827839,43,1,1,2,0,13,124,14,1,10,1
1150,1151,7253442,24,17,1,2,0,20,250,17,8,10,1
1155,1156,5713579,53,14,1,2,0,0,276,14,10,11,1
1157,1158,8854489,36,18,1,2,0,17,226,14,13,14,1
1161,1162,2397672,70,6,1,2,0,27,292,12,6,11,1
1162,1163,3745099,27,10,1,2,0,1,32,28,10,11,1
1169,1170,3090546,54,9,1,2,0,9,11,20,5,12,1
1170,1171,2206541,52,10,1,1,0,30,264,23,10,10,1
1178,1179,6092943,60,10,1,2,0,5,246,10,10,11,1
1187,1188,4248868,79,11,1,2,0,19,61,4,11,13,1
1188,1189,8476201,55,1,1,2,0,49,208,0,1,11,1
1190,1191,6250439,65,14,1,2,1,43,84,0,10,14,1
1217,1218,826478,33,15,1,2,0,19,174,19,13,11,1
1225,1226,4069436,67,6,1,2,1,17,28,25,5,13,1
1233,1234,4389360,42,20,1,2,1,41,127,13,11,10,1
1242,1243,7714522,37,0,1,2,1,45,263,13,0,10,1
1248,1249,3711494,63,6,1,2,1,41,180,28,6,14,1
1250,1251,9187149,79,1,1,2,1,7,203,1,1,13,1
1256,1257,2301024,51,11,1,2,1,23,116,27,7,11,1
1260,1261,4627494,55,14,1,2,0,25,5,16,7,11,1
1275,1276,3006135,59,18,1,2,0,7,276,14,6,10,1
1278,1279,6329094,26,17,1,2,0,3,294,12,12,11,1
1294,1295,8596569,69,0,1,2,0,6,312,0,0,13,1
1295,1296,2607516,76,5,1,2,1,1,207,14,5,11,1
1298,1299,1043413,33,16,1,2,0,28,262,14,8,13,1
1302,1303,7716276,50,16,1,2,0,3,55,14,13,12,1
1303,1304,9427951,24,11,1,2,0,40,245,23,8,12,1
1305,1306,9052853,52,15,1,2,1,41,43,5,12,11,1
1308,1309,1923707,40,16,1,2,0,17,38,11,4,12,1
1309,1310,6073350,68,5,1,2,0,28,236,14,5,14,1
1313,1314,3315306,66,14,1,2,1,38,71,28,3,11,1
1314,1315,1591082,66,3,1,2,0,38,208,0,3,11,1
1316,1317,1857595,26,19,1,2,0,45,270,20,12,13,1
1317,1318,8151369,67,11,1,2,0,29,73,22,6,12,1
1325,1326,6380792,51,12,1,2,0,32,149,23,12,13,1
1328,1329,3758841,76,8,1,2,0,5,127,13,8,13,1
1329,1330,1514602,71,6,1,2,0,12,239,11,6,13,1
1336,1337,5613340,59,17,1,2,0,47,265,28,14,11,1
1337,1338,7146402,23,20,1,2,0,33,125,15,4,14,1
1345,1346,7442529,57,6,1,2,1,8,256,2,5,10,1
1352,1353,8605005,31,20,1,2,0,36,201,11,5,14,1
1356,1357,9639313,38,4,1,2,1,30,316,7,4,14,1
1361,1362,3142984,22,13,1,2,0,8,116,27,10,12,1
1363,1364,1621150,48,10,1,2,1,0,300,22,9,10,1
1371,1372,9678663,46,0,1,2,0,45,142,0,0,12,1
1373,1374,6641682,42,0,1,2,0,29,305,14,0,10,1
1375,1376,1661569,32,12,1,2,0,36,154,23,5,13,1
1376,1377,2909502,27,18,1,2,0,37,263,13,4,11,1
1381,1382,9645128,26,2,1,2,0,4,153,0,2,11,1
1387,1388,6107468,21,16,1,2,0,42,202,6,13,14,1
1393,1394,424512,60,16,1,2,0,18,53,13,5,11,1
1400,1401,5663883,37,4,1,2,0,4,6,20,4,11,1
1404,1405,3412117,76,3,1,2,1,19,136,25,3,14,1
1406,1407,2926190,71,0,1,2,0,37,29,28,0,14,1
1412,1413,7310061,37,10,1,2,0,50,68,14,6,11,1
1414,1415,9299383,56,15,1,2,0,33,266,25,8,12,1
1416,1417,9807280,37,0,1,2,0,1,206,28,0,13,1
1417,1418,3648949,65,6,1,2,1,4,262,14,6,11,1
1430,1431,2564409,29,13,1,2,1,14,77,11,7,12,1
1432,1433,8026974,23,20,1,2,1,11,69,2,11,12,1
1434,1435,3205080,47,10,1,2,0,6,158,5,10,13,1
1438,1439,6207088,35,16,1,2,0,20,22,2,13,13,1
1439,1440,4536448,43,18,1,0,0,25,46,6,6,14,1
1448,1449,4727668,62,20,1,2,1,19,155,13,7,10,1
1467,1468,2946448,63,0,1,2,0,16,198,2,0,13,1
1474,1475,2803101,25,10,1,2,0,37,270,20,10,14,1
1484,1485,911309,69,12,1,2,0,25,207,14,9,13,1
1485,1486,2282442,47,4,1,2,1,36,241,4,4,13,1
1498,1499,7058931,40,10,1,2,0,31,14,14,10,13,1
1500,1501,7710784,61,19,1,2,1,27,250,17,3,10,1
1502,1503,156145,69,7,1,2,1,50,114,28,7,13,1
1504,1505,5131419,26,2,1,2,0,10,309,25,2,10,1
1505,1506,9766082,28,9,1,2,0,3,89,28,3,14,1
1506,1507,7503751,27,17,1,2,0,44,0,0,8,14,1
1511,1512,9434255,52,12,1,2,0,6,313,0,12,12,1
1521,1522,9578850,57,13,1,2,0,34,16,14,11,11,1
1525,1526,1678997,47,20,1,2,0,10,306,28,12,13,1
1533,1534,7761009,38,3,1,2,0,33,164,4,3,12,1
1537,1538,5671193,30,20,1,2,0,46,27,25,11,14,1
1547,1548,4772948,46,17,1,2,0,0,199,25,11,14,1
1549,1550,8925245,63,0,1,2,0,18,166,12,0,10,1
1554,1555,5604484,51,14,1,2,0,26,270,20,4,13,1
1560,1561,3779002,57,8,1,2,0,27,16,14,8,14,1
1561,1562,3430788,63,3,1,2,0,17,56,11,3,10,1
1566,1567,279241,41,0,1,2,1,37,292,12,0,14,1
1572,1573,4828749,28,15,1,2,0,31,242,0,5,11,1
1573,1574,660630,70,1,1,2,1,7,236,14,1,10,1
1574,1575,554517,21,7,1,2,0,26,289,1,5,13,1
1575,1576,5022180,57,2,1,2,0,31,84,0,2,11,1
1578,1579,7600998,66,8,1,2,1,9,295,1,8,13,1
1579,1580,9451139,22,17,1,2,0,40,303,11,14,14,1
1604,1605,2421681,33,8,1,2,1,49,170,0,4,13,1
1614,1615,7210569,54,17,1,2,0,21,5,16,10,11,1
1618,1619,2568258,67,5,1,2,1,35,221,20,5,11,1
1621,1622,3048347,36,17,1,2,0,0,45,28,14,13,1
1625,1626,9464294,42,9,1,2,0,13,251,13,5,10,1
1628,1629,553772,38,19,1,2,1,14,174,19,9,14,1
1632,1633,140516,29,19,1,2,0,39,311,22,14,10,1
1634,1635,4499377,48,11,1,2,0,43,100,2,11,12,1
1643,1644,2045156,35,9,1,2,1,24,140,1,9,13,1
1647,1648,8177616,33,9,1,2,0,46,128,20,9,13,1
1661,1662,6036428,34,7,1,2,1,25,306,28,6,10,1
1664,1665,8450190,26,6,1,2,0,12,279,20,6,10,1
1668,1669,5180835,22,1,1,2,0,0,33,28,1,10,1
1674,1675,3737014,47,7,1,2,0,19,177,28,7,14,1
1679,1680,7571977,75,5,1,2,1,11,248,10,5,13,1
1687,1688,9717828,22,13,1,2,1,0,80,5,10,14,1
1688,1689,98356,50,4,1,2,1,39,182,14,4,13,1
1692,1693,9768762,66,1,1,2,0,12,53,13,1,13,1
1719,1720,8442518,71,6,1,2,1,36,97,6,6,11,1
1732,1733,5683509,62,19,1,2,0,42,264,23,4,14,1
1737,1738,3238461,35,16,1,2,0,21,290,14,8,13,1
1739,1740,5522087,58,4,1,2,1,31,69,2,4,13,1
1746,1747,2280615,74,1,1,0,0,6,314,0,1,14,1
1751,1752,978225,72,0,1,2,1,29,257,22,0,13,1
1754,1755,8818909,41,6,1,2,1,31,48,20,3,13,1
1755,1756,8653449,66,0,1,2,0,9,294,12,0,13,1
1757,1758,3578378,41,9,1,2,1,24,21,0,9,10,1
1759,1760,1932556,56,15,1,2,0,33,210,0,4,13,1
1762,1763,6943697,37,14,1,2,0,3,221,20,3,12,1
1764,1765,5184758,55,7,1,2,0,6,221,20,7,11,1
1766,1767,4399912,29,9,1,2,0,2,217,28,9,10,1
1767,1768,1556371,39,11,1,2,0,40,223,7,8,13,1
1773,1774,8593281,22,19,1,2,0,8,13,7,11,11,1
1778,1779,4276227,31,11,1,2,0,42,148,5,11,13,1
1785,1786,1565345,37,5,1,2,0,21,50,13,4,14,1
1798,1799,9537662,44,19,1,2,0,39,308,6,14,12,1
1801,1802,7100378,60,18,1,1,0,10,226,14,11,11,1
1808,1809,7488205,60,9,1,2,0,47,138,25,9,10,1
1810,1811,3640092,65,2,1,2,1,22,101,25,2,12,1
1812,1813,8217682,67,10,1,0,1,14,274,7,10,10,1
1824,1825,291209,58,4,1,2,1,0,221,20,4,14,1
1825,1826,5832406,24,4,1,2,1,18,260,14,4,12,1
1827,1828,9218490,63,12,1,2,1,18,303,11,10,13,1
1828,1829,700444,24,0,1,2,0,15,292,12,0,11,1
1829,1830,9700230,55,20,1,2,0,30,205,14,8,13,1
1830,1831,4872825,76,6,1,2,1,25,295,1,6,10,1
1834,1835,1047915,23,4,1,2,1,4,85,14,4,11,1
1841,1842,8597260,56,20,1,2,1,41,268,11,6,14,1
1852,1853,5924444,33,1,1,2,0,24,33,28,1,12,1
1853,1854,1743237,66,0,1,2,0,11,109,0,0,14,1
1854,1855,116617,62,15,1,2,0,33,47,4,14,11,1
1874,1875,7134942,28,20,1,2,1,13,240,28,11,10,1
1879,1880,1100548,49,3,1,2,1,47,283,6,3,10,1
1888,1889,7720372,72,6,1,2,1,37,190,14,6,11,1
1896,1897,7756519,56,4,1,2,0,30,138,25,4,14,1
1902,1903,9345198,49,9,1,2,0,29,6,20,9,11,1
1904,1905,2716181,76,8,1,2,0,45,179,23,8,11,1
1912,1913,779324,45,20,1,2,0,2,281,9,4,10,1
1915,1916,1079145,66,16,1,2,1,21,161,14,9,13,1
1930,1931,2362103,56,2,1,2,0,16,185,25,2,11,1
1932,1933,4514928,28,20,1,2,1,43,54,17,5,11,1
1945,1946,9775346,48,6,1,2,0,35,101,25,6,10,1
1970,1971,974748,42,6,1,2,0,6,205,14,6,11,1
1981,1982,7757778,78,17,1,2,0,22,298,0,12,12,1
1988,1989,1038909,58,19,1,2,1,11,104,25,4,11,1
1993,1994,151700,33,20,1,2,0,39,228,19,6,13,1
1997,1998,1067890,41,14,1,2,1,0,258,17,3,12,1
2010,2011,4489952,66,5,1,1,0,22,275,2,5,11,1
2016,2017,7530512,65,12,1,2,0,34,255,25,10,12,1
2023,2024,1950853,54,6,1,2,0,0,285,23,6,14,1
2026,2027,5792043,71,6,1,0,1,27,225,7,6,11,1
2028,2029,2297128,30,6,1,2,1,13,76,2,6,13,1
2030,2031,3802714,71,16,1,2,0,43,176,0,8,13,1
2038,2039,4977653,54,17,1,2,1,47,56,11,13,11,1
2042,2043,335003,75,11,1,0,0,20,131,14,11,13,1
2051,2052,4816071,63,17,1,2,0,33,176,0,13,14,1
2056,2057,3672369,60,12,1,2,0,14,117,10,6,12,1
2063,2064,1336270,66,19,1,2,0,9,27,25,8,12,1
2064,2065,6525200,55,11,1,2,1,3,148,5,6,14,1
2074,2075,1053988,73,6,1,1,0,43,211,14,6,13,1
2076,2077,9803522,55,14,1,2,0,38,107,13,14,11,1
2078,2079,7770680,38,10,1,2,0,41,15,22,10,12,1
2087,2088,6798686,31,9,1,1,0,16,123,23,9,10,1
2089,2090,2229331,79,6,1,2,1,36,57,28,6,11,1
2092,2093,4041403,47,19,1,2,1,49,179,23,13,14,1
2097,2098,718057,59,19,1,2,0,23,111,1,4,11,1
2098,2099,8053436,42,8,1,2,0,8,201,11,8,11,1
2100,2101,228131,30,5,1,2,0,48,143,0,5,12,1
2101,2102,600473,24,11,1,2,0,1,93,7,6,14,1
2112,2113,973794,69,16,1,2,1,26,241,4,8,14,1
2116,2117,5465804,32,10,1,2,1,2,248,10,6,12,1
2119,2120,7908473,66,0,1,2,0,48,306,28,0,10,1
2131,2132,4305317,75,6,1,2,0,45,259,25,6,12,1
2138,2139,3038020,30,15,1,2,1,24,55,14,4,10,1
2140,2141,75855,33,17,1,2,0,49,203,1,12,11,1
2142,2143,3130971,43,16,1,2,1,5,70,22,13,11,1
2144,2145,3453372,47,2,1,2,0,23,255,25,2,10,1
2149,2150,9038552,76,7,1,2,1,49,304,13,4,14,1
2152,2153,448452,22,7,1,2,0,27,50,13,6,13,1
2158,2159,5300443,71,8,1,2,1,39,64,25,7,13,1
2159,2160,5994323,55,10,1,2,1,38,289,1,10,10,1
2162,2163,147581,74,18,1,0,0,7,130,14,9,11,1
2170,2171,140981,36,17,1,2,1,15,66,2,9,12,1
2172,2173,289113,40,5,1,2,1,39,61,4,5,12,1
2173,2174,2593784,66,1,1,2,1,35,200,2,1,11,1
2183,2184,8909724,71,4,1,2,0,4,279,20,4,11,1
2185,2186,4423589,33,19,1,2,0,7,212,14,8,12,1
2193,2194,8215558,43,1,1,2,1,46,87,22,1,13,1
2195,2196,9290267,54,4,1,2,1,36,198,2,4,14,1
2196,2197,4742685,38,2,1,2,1,36,108,0,2,12,1
2200,2201,8593318,75,20,1,1,0,42,134,6,7,13,1
2201,2202,4778152,42,13,1,2,0,42,298,0,3,12,1
2203,2204,8785845,69,8,1,2,0,10,139,20,6,14,1
2211,2212,3123209,53,16,1,2,1,37,271,1,3,10,1
2215,2216,7013255,75,10,1,1,1,9,48,20,10,11,1
2241,2242,8527776,54,2,1,2,0,30,215,23,2,11,1
2242,2243,8981043,57,8,1,2,1,47,201,11,8,12,1
2244,2245,4012270,39,7,1,2,1,50,117,10,7,10,1
2245,2246,1369446,59,3,1,2,0,38,35,19,3,11,1
2247,2248,7186684,55,3,1,2,1,44,112,13,3,12,1
2248,2249,2147176,45,5,1,1,0,30,214,5,5,14,1
2253,2254,9275320,28,12,1,2,0,10,51,14,3,13,1
2258,2259,7574572,78,5,1,2,0,28,313,0,5,10,1
2261,2262,7644982,24,1,1,2,0,41,93,7,1,11,1
2265,2266,3478374,74,5,1,2,0,29,160,12,5,10,1
2266,2267,2421544,46,17,1,2,0,4,195,13,6,13,1
2278,2279,6284000,32,3,1,2,0,36,160,12,3,11,1
2284,2285,4516990,69,9,1,2,0,30,9,25,9,11,1
2285,2286,7961712,41,10,1,2,0,35,295,1,10,14,1
2286,2287,3685028,32,13,1,2,0,35,177,28,6,11,1
2291,2292,7018599,53,0,1,2,0,46,113,2,0,13,1
2293,2294,5509700,37,0,1,2,0,34,175,0,0,13,1
2299,2300,1045513,40,2,1,0,0,15,123,23,2,14,1
2300,2301,8141088,22,1,1,2,0,25,26,22,1,12,1
2304,2305,8259158,79,14,1,2,0,22,57,28,13,10,1
2315,2316,332177,70,20,1,2,0,42,270,20,7,13,1
2327,2328,9961539,41,8,1,1,1,26,259,25,8,10,1
2331,2332,1929764,45,5,1,2,0,26,96,25,3,12,1
2345,2346,265272,75,20,1,2,0,33,80,5,6,14,1
2347,2348,1923313,71,5,1,2,0,32,222,22,3,10,1
2352,2353,469269,65,7,1,2,0,43,211,14,3,12,1
2355,2356,8514407,43,1,1,2,0,46,36,2,1,13,1
2359,2360,6733582,24,3,1,2,0,48,23,28,3,10,1
2360,2361,8424956,57,12,1,2,0,21,142,0,12,10,1
2371,2372,6547688,27,5,1,2,1,3,184,10,4,12,1
2377,2378,1216848,60,9,1,2,0,13,200,2,9,12,1
2385,2386,3092529,49,1,1,2,0,22,166,12,1,10,1
2387,2388,555482,32,12,1,2,0,7,104,25,9,11,1
2393,2394,9979065,49,8,1,2,1,10,227,14,8,13,1
2402,2403,7970733,26,7,1,2,1,50,124,14,7,13,1
2406,2407,2499276,21,0,1,2,0,37,83,10,0,12,1
2410,2411,1085302,69,4,1,2,0,25,224,28,4,10,1
2412,2413,9109752,69,16,1,2,1,46,295,1,7,13,1
2415,2416,5314430,32,11,1,2,0,44,31,28,5,12,1
2424,2425,681686,71,18,1,2,0,4,183,11,13,10,1
2428,2429,291391,33,8,1,2,0,47,52,7,6,13,1
2434,2435,9749313,72,17,1,2,1,5,187,10,14,11,1
2448,2449,882249,36,14,1,1,0,16,230,19,12,13,1
2452,2453,998868,44,16,1,2,0,34,115,25,5,13,1
2463,2464,3700179,75,15,1,2,0,12,122,11,10,11,1
2468,2469,90178,76,9,1,2,0,26,185,25,9,11,1
2473,2474,4977116,25,7,1,2,1,38,53,13,7,10,1
2476,2477,4432896,29,14,1,2,0,10,153,0,13,14,1
2484,2485,4763378,70,6,1,2,1,40,15,22,6,14,1
2495,2496,2974289,22,3,1,2,0,11,238,25,3,13,1
2499,2500,7203886,40,14,1,1,1,48,37,11,13,10,1
2511,2512,6068842,29,6,1,2,0,48,197,14,6,14,1
2519,2520,7218867,43,16,1,2,0,2,122,11,8,14,1
