,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
842,843,1411158,42,11,1,1,1,10,119,11,6,13,0
846,847,2174359,60,18,1,1,1,23,241,4,11,10,0
850,851,6991135,31,16,1,0,1,22,189,6,11,11,0
875,876,6268431,43,6,1,1,1,48,127,13,3,10,0
876,877,6165156,28,7,0,1,0,8,94,25,7,13,0
894,895,1223133,68,6,1,0,0,7,167,12,6,10,0
898,899,8371842,66,15,1,1,0,12,129,19,4,11,1
922,923,3191887,76,3,1,1,1,40,145,28,3,14,0
931,932,5768112,52,3,1,1,0,37,148,5,3,11,0
937,938,7198404,29,19,1,1,1,27,228,19,6,14,1
940,941,4356797,57,4,1,1,0,2,121,28,4,12,0
953,954,726110,68,18,1,0,1,43,187,10,10,13,0
964,965,4486618,31,6,1,0,1,38,316,7,6,10,0
986,987,4879862,75,2,1,1,0,14,273,13,2,12,0
992,993,8448595,32,13,1,1,0,23,263,13,3,13,0
995,996,6907195,55,5,1,1,0,38,84,0,3,10,0
997,998,9464966,67,14,1,0,1,44,299,22,14,10,0
1000,1001,8367934,39,0,0,0,0,12,225,7,0,12,0
1005,1006,4968665,72,11,1,1,1,17,90,0,3,13,0
1013,1014,8200302,36,13,1,1,0,31,267,8,5,11,0
1029,1030,4724398,78,6,1,1,0,44,37,11,3,11,0
1046,1047,1783274,34,8,1,1,0,46,57,28,7,12,1
1055,1056,3152333,61,11,1,0,1,0,53,13,7,14,1
1072,1073,8398435,50,9,1,0,1,20,313,0,8,10,0
1082,1083,3670961,63,12,1,1,0,40,295,1,3,11,0
1093,1094,9224297,69,19,0,1,1,18,27,25,11,14,0
1104,1105,9953142,51,6,1,0,0,41,240,28,6,14,0
1121,1122,3468270,68,12,1,0,1,16,253,17,6,14,0
1122,1123,5867312,43,1,1,1,0,7,170,0,1,13,1
1123,1124,5354814,29,20,1,1,1,29,292,12,14,14,0
1127,1128,9506126,30,12,1,1,0,20,186,25,12,13,0
1163,1164,6309142,35,0,1,0,0,41,5,16,0,14,0
1170,1171,2206541,52,10,1,1,0,30,264,23,10,10,1
1222,1223,9047999,50,1,1,0,0,46,262,14,1,14,0
1232,1233,3685843,77,15,1,0,0,13,34,25,8,13,0
1234,1235,6395936,66,11,1,1,0,12,98,6,11,14,0
1264,1265,3333641,42,6,1,0,1,0,19,6,6,10,0
1272,1273,2040616,65,7,1,0,0,41,31,28,4,10,0
1276,1277,4167093,77,18,1,1,0,7,94,25,13,12,0
1348,1349,6868153,27,5,0,1,1,49,297,22,5,12,0
1350,1351,8489507,30,13,1,1,0,32,79,2,12,12,0
1354,1355,3656909,68,14,1,0,0,39,152,13,4,14,0
1370,1371,5354431,24,1,1,1,0,36,86,1,1,14,0
1391,1392,1623907,44,14,1,0,0,17,263,13,14,11,0
1415,1416,3006454,24,11,1,0,0,12,307,25,11,11,0
1425,1426,59539,51,3,0,0,0,6,177,28,3,12,0
1439,1440,4536448,43,18,1,0,0,25,46,6,6,14,1
1443,1444,1942552,51,20,1,0,1,3,296,22,4,13,0
1444,1445,4542920,64,11,1,1,1,37,201,11,11,14,0
1460,1461,6296539,30,19,1,1,0,40,144,14,3,10,0
1476,1477,4341353,78,6,1,0,1,36,316,7,6,10,0
1480,1481,1529495,53,6,1,1,1,34,253,17,6,14,0
1481,1482,6486411,48,10,1,0,0,2,59,11,10,11,0
1483,1484,3768361,75,9,1,1,1,25,128,20,6,13,0
1490,1491,9777389,29,9,1,1,0,12,156,28,9,14,0
1492,1493,6725891,25,11,1,1,0,27,13,7,11,14,0
1494,1495,6189149,30,0,1,0,0,31,294,12,0,14,0
1501,1502,4539410,35,5,1,1,0,43,227,14,5,12,0
1510,1511,9812254,35,15,1,0,0,32,140,1,8,11,0
1528,1529,132711,75,16,1,0,0,37,109,0,3,11,0
1570,1571,8196418,61,15,1,1,1,30,244,28,5,12,0
1582,1583,3926552,21,4,1,1,0,17,211,14,4,12,0
1589,1590,7138986,38,17,1,1,1,6,65,13,14,13,0
1597,1598,3311941,60,19,1,1,0,11,221,20,11,14,0
1626,1627,260970,59,2,1,1,0,22,123,23,2,13,0
1656,1657,9840980,67,20,0,0,0,22,206,28,10,11,0
1660,1661,9776434,48,11,1,0,0,14,235,22,3,13,0
1710,1711,7157631,30,13,1,1,1,22,232,14,10,14,0
1723,1724,8998661,68,4,1,0,0,0,140,1,4,12,0
1731,1732,4205118,43,12,1,1,0,29,224,28,4,14,0
1743,1744,7073640,79,6,1,1,1,8,79,2,6,10,0
1746,1747,2280615,74,1,1,0,0,6,314,0,1,14,1
1758,1759,4439374,70,16,1,1,1,12,13,7,14,10,0
1768,1769,9337934,67,16,1,0,0,45,85,14,4,13,0
1772,1773,8353567,55,14,1,1,0,23,311,22,3,12,0
1781,1782,191452,53,1,1,1,1,43,295,1,1,12,0
1787,1788,5413550,53,18,1,1,1,5,141,6,12,12,0
1801,1802,7100378,60,18,1,1,0,10,226,14,11,11,1
1812,1813,8217682,67,10,1,0,1,14,274,7,10,10,1
1845,1846,9165973,37,14,1,0,1,16,22,2,11,11,0
1862,1863,1318865,73,5,1,1,0,17,151,2,5,13,0
1887,1888,9665324,57,11,1,1,0,15,78,27,7,14,0
1891,1892,5798034,28,19,1,0,0,43,196,2,3,12,0
1920,1921,1026262,79,12,0,1,1,37,102,10,12,10,0
1922,1923,9544863,61,20,1,1,0,2,1,24,14,14,0
1950,1951,549784,63,4,1,1,1,5,217,28,4,13,0
1951,1952,738257,27,3,1,0,0,50,272,28,3,10,0
1956,1957,3766437,24,11,0,0,0,12,209,5,10,10,0
1963,1964,1705824,27,15,1,1,0,27,21,0,13,10,0
1964,1965,3198849,74,3,1,1,0,41,139,20,3,10,0
1968,1969,6051217,48,20,1,1,0,1,234,0,7,12,0
1982,1983,1871303,62,16,1,1,0,28,265,28,6,12,0
1983,1984,7713626,47,0,1,0,1,18,270,20,0,12,0
1992,1993,8640226,40,12,1,1,0,23,232,14,9,10,0
2010,2011,4489952,66,5,1,1,0,22,275,2,5,11,1
2026,2027,5792043,71,6,1,0,1,27,225,7,6,11,1
2033,2034,6236454,22,16,1,1,1,2,74,17,11,10,0
2042,2043,335003,75,11,1,0,0,20,131,14,11,13,1
2043,2044,5544342,73,4,1,1,0,33,101,25,4,12,0
2055,2056,37512,36,8,1,1,0,45,180,28,8,14,0
2068,2069,6647354,53,2,1,1,0,22,233,18,2,11,0
2074,2075,1053988,73,6,1,1,0,43,211,14,6,13,1
2087,2088,6798686,31,9,1,1,0,16,123,23,9,10,1
2137,2138,9842635,60,7,0,1,1,39,181,28,7,11,0
2151,2152,8934196,51,18,1,1,0,9,169,22,3,10,0
2162,2163,147581,74,18,1,0,0,7,130,14,9,11,1
2163,2164,4971595,54,8,1,1,0,16,205,14,8,13,0
2164,2165,2136279,37,17,1,0,0,16,181,28,5,10,0
2169,2170,6244146,71,2,1,1,0,5,239,11,2,12,0
2178,2179,9623591,49,8,1,1,0,4,273,13,8,14,0
2189,2190,9417795,46,8,1,1,0,49,7,14,8,11,0
2191,2192,2570783,55,0,1,1,0,26,217,28,0,11,0
2197,2198,4590909,27,14,1,1,0,0,38,11,8,14,0
2199,2200,5581770,56,12,1,1,0,37,184,10,8,13,0
2200,2201,8593318,75,20,1,1,0,42,134,6,7,13,1
2215,2216,7013255,75,10,1,1,1,9,48,20,10,11,1
2227,2228,1934502,27,18,1,0,0,46,245,23,5,14,0
2229,2230,4445518,34,16,0,1,0,46,170,0,8,12,0
2248,2249,2147176,45,5,1,1,0,30,214,5,5,14,1
2250,2251,3306272,60,3,1,1,0,38,277,7,3,13,0
2270,2271,7059372,43,4,0,1,0,32,309,25,4,13,0
2271,2272,6449400,33,18,1,0,0,29,38,11,10,10,0
2277,2278,3450249,67,6,1,0,0,50,141,6,6,13,0
2299,2300,1045513,40,2,1,0,0,15,123,23,2,14,1
2308,2309,1811742,54,17,1,1,0,5,118,0,3,14,0
2319,2320,4122315,31,14,1,1,1,33,283,6,10,11,0
2327,2328,9961539,41,8,1,1,1,26,259,25,8,10,1
2365,2366,8982743,34,15,0,1,1,30,294,12,8,11,0
2389,2390,1050363,39,5,1,1,0,9,213,0,5,11,0
2416,2417,7651121,64,13,1,1,0,27,205,14,6,13,0
2418,2419,5626739,33,3,1,1,0,3,181,28,3,12,0
2425,2426,5682236,32,14,1,1,1,13,135,10,6,11,0
2448,2449,882249,36,14,1,1,0,16,230,19,12,13,1
2451,2452,5017077,60,7,1,0,0,43,151,2,7,13,0
2459,2460,3509965,32,9,1,1,0,36,29,28,3,12,0
2464,2465,7018326,33,20,1,0,1,34,311,22,4,11,0
2474,2475,7123769,47,15,1,1,0,13,23,28,9,12,0
2499,2500,7203886,40,14,1,1,1,48,37,11,13,10,1
2505,2506,6329731,45,9,1,0,0,18,48,20,9,13,0
2513,2514,2165988,58,14,1,1,0,44,268,11,6,13,0
2521,2522,4807368,45,13,1,1,1,31,104,25,5,11,0
2540,2541,4749978,65,6,1,1,0,49,242,0,4,11,0
2555,2556,5003310,25,1,0,1,0,32,77,11,1,13,0
2569,2570,5279919,38,19,1,1,0,23,169,22,3,10,1
2588,2589,5543454,21,19,1,0,0,18,102,10,13,11,0
2589,2590,4380624,48,12,1,1,0,28,29,28,12,12,0
2603,2604,7517800,76,12,1,1,1,9,76,2,12,11,0
2615,2616,9872943,78,16,1,1,0,41,310,14,14,13,1
2634,2635,6144152,72,18,1,1,0,43,74,17,13,12,0
2656,2657,1092385,55,4,1,1,0,0,257,22,4,12,0
2669,2670,5683730,47,8,1,0,0,46,313,0,7,14,0
2686,2687,4813006,52,16,1,1,1,7,215,23,4,11,0
2709,2710,2442525,54,18,1,0,0,49,257,22,4,14,0
2710,2711,6520687,63,7,1,0,0,40,308,6,5,10,0
2712,2713,4613553,27,13,1,1,0,10,201,11,13,10,1
2742,2743,271512,54,5,1,1,1,17,313,0,5,14,0
2743,2744,3959539,38,0,1,0,0,34,286,0,0,14,0
2747,2748,2386962,43,1,1,1,0,45,153,0,1,14,0
2761,2762,9971347,77,19,1,1,1,33,194,6,4,14,0
2772,2773,353654,44,18,1,1,0,32,307,25,9,10,0
2774,2775,8553255,53,12,1,0,0,10,29,28,12,10,0
2793,2794,7686186,69,15,1,1,1,0,51,14,4,13,0
2804,2805,2307941,32,18,1,0,0,17,89,28,13,10,0
2842,2843,6384060,26,14,1,1,0,48,132,2,5,11,0
2846,2847,7373046,79,18,1,0,0,34,42,2,9,10,0
2850,2851,2831745,51,16,1,1,0,47,313,0,8,13,1
2859,2860,5533812,61,13,1,1,1,7,238,25,10,11,0
2870,2871,8284308,51,3,1,1,0,50,210,0,3,12,0
2903,2904,1925567,75,20,1,1,1,9,9,25,12,14,0
2904,2905,3391314,27,1,1,1,0,26,171,14,1,10,0
2927,2928,7596972,23,4,1,0,1,1,215,23,4,12,0
2936,2937,5543622,77,14,1,1,1,34,53,13,4,10,0
2941,2942,3512152,35,3,1,0,1,45,204,22,3,13,1
2947,2948,5384499,44,2,0,1,1,31,285,23,2,13,0
2967,2968,2143718,25,0,1,0,1,19,166,12,0,10,1
2998,2999,9380612,21,12,1,1,1,0,262,14,4,13,0
3000,3001,2859480,30,14,1,1,0,48,279,20,10,12,1
3020,3021,6487755,78,12,0,1,0,15,101,25,6,11,0
3025,3026,7741893,32,9,1,1,1,13,139,20,9,12,0
3060,3061,915146,50,4,1,1,0,14,97,6,4,13,1
3061,3062,5618577,52,8,1,1,0,5,162,28,4,13,1
3064,3065,9840303,24,4,1,1,0,5,105,0,4,11,0
3074,3075,2806082,76,10,1,1,0,3,119,11,10,14,0
3076,3077,2860021,23,17,1,0,0,6,138,25,11,13,0
3090,3091,5356329,48,18,1,0,0,38,186,25,10,13,0
3098,3099,1638680,27,11,1,0,0,44,256,2,10,12,0
3105,3106,8822942,65,13,1,1,0,47,215,23,8,12,0
3109,3110,3054126,65,19,1,1,1,37,27,25,11,14,0
3118,3119,2711008,50,1,1,0,0,13,200,2,1,12,0
3122,3123,6034467,33,7,1,1,0,32,209,5,3,11,0
3126,3127,357702,76,6,1,1,0,35,276,14,3,13,1
3145,3146,9760129,44,12,1,0,0,9,10,26,11,10,1
3162,3163,6536145,39,0,1,1,0,19,282,5,0,11,0
3189,3190,7247143,55,2,1,0,1,33,218,0,2,11,0
3218,3219,4812262,62,3,1,1,0,30,149,23,3,13,0
3231,3232,1294095,47,9,1,1,0,45,113,2,8,14,0
3240,3241,4493857,68,3,1,0,0,3,251,13,3,13,0
3269,3270,3748391,38,14,1,1,0,46,119,11,10,10,0
3281,3282,3727264,30,15,1,1,0,10,158,5,10,10,0
3283,3284,3603703,75,2,1,1,0,26,115,25,2,12,0
3289,3290,5253114,50,7,1,1,0,14,306,28,7,11,0
3297,3298,4631758,63,1,1,1,0,46,102,10,1,11,0
3313,3314,1232057,28,10,1,1,0,39,34,25,7,13,0
3314,3315,6963857,24,11,1,0,1,14,121,28,7,10,0
3348,3349,3835205,45,11,1,0,0,34,218,0,5,12,0
3361,3362,283812,77,20,1,1,0,26,305,14,10,10,0
3367,3368,7320325,42,3,1,1,0,12,88,4,3,13,0
3369,3370,1200485,63,16,1,1,0,29,110,7,4,14,0
3389,3390,985060,71,10,1,1,1,23,81,10,8,13,0
3431,3432,8007036,56,14,1,1,0,6,158,5,4,13,0
3432,3433,3026361,37,18,1,1,1,50,256,2,13,10,1
3443,3444,9287205,68,9,1,0,0,10,192,25,8,11,0
3452,3453,5003285,54,9,1,1,0,50,195,13,9,11,0
3463,3464,8111049,71,2,1,1,0,2,202,6,2,14,0
3468,3469,5497030,35,19,1,1,0,36,283,6,11,10,0
3479,3480,9514759,34,15,1,1,1,30,313,0,4,12,0
3489,3490,9017624,70,19,1,0,0,23,301,11,6,14,0
3496,3497,6168755,78,19,1,1,0,28,251,13,11,10,0
3497,3498,3411984,31,12,1,1,0,3,139,20,4,12,1
3503,3504,2620497,39,6,0,0,0,23,153,0,4,12,0
3505,3506,7457920,40,2,1,1,0,47,300,22,2,13,0
3506,3507,6035175,63,10,1,1,1,2,262,14,8,13,0
3512,3513,6475776,35,4,1,0,0,46,14,14,4,11,0
3513,3514,2576636,75,17,1,0,1,26,106,11,11,14,0
3532,3533,206151,68,16,1,1,0,2,250,17,3,12,0
3551,3552,7974415,42,5,1,0,0,36,311,22,5,13,1
3552,3553,132850,72,0,1,0,0,8,142,0,0,11,0
3570,3571,1489858,24,16,1,1,1,30,230,19,11,14,0
3575,3576,790606,32,8,1,0,1,2,78,27,8,12,0
3583,3584,2487718,24,12,1,1,0,38,174,19,10,11,0
3587,3588,1864930,54,2,1,0,1,7,311,22,2,10,0
3598,3599,3755504,59,14,1,0,0,3,258,17,8,12,0
3599,3600,4359506,75,4,1,0,0,29,115,25,4,11,0
3607,3608,4214101,60,16,1,0,0,28,263,13,13,10,0
3638,3639,3081814,32,12,1,1,0,5,173,25,3,13,0
3645,3646,1572647,34,9,1,0,1,17,188,25,9,10,0
3650,3651,8135531,60,10,1,1,0,32,219,25,4,11,1
3651,3652,3529385,73,18,1,1,0,11,24,14,14,11,0
3679,3680,9620139,48,15,0,0,1,36,146,25,14,13,0
3699,3700,3935358,54,15,1,0,1,41,146,25,5,10,0
3700,3701,4544686,62,8,1,0,0,27,134,6,5,13,1
3708,3709,4925213,59,10,1,0,1,10,115,25,6,10,0
3733,3734,1549898,40,3,0,0,1,42,109,0,3,11,0
3740,3741,6614108,41,4,1,1,1,45,206,28,4,14,0
3800,3801,8248899,23,7,1,1,0,19,296,22,7,13,0
3805,3806,6676324,48,6,1,1,1,33,310,14,6,10,0
3806,3807,9349211,56,10,1,0,0,47,262,14,4,13,0
3807,3808,2819566,63,8,1,0,0,23,253,17,5,13,0
3817,3818,4375780,66,3,1,1,0,42,56,11,3,10,0
3819,3820,4849926,57,2,1,1,1,29,180,28,2,11,0
3822,3823,2731553,56,14,0,1,0,2,111,1,3,12,0
3853,3854,2613761,57,3,1,1,0,16,182,14,3,14,0
3885,3886,204283,53,20,1,1,0,42,154,23,4,11,0
3901,3902,8986859,56,3,1,1,1,50,304,13,3,14,0
3913,3914,3466926,54,18,0,0,0,48,19,6,7,12,0
3916,3917,7359576,75,17,1,1,0,10,68,14,14,14,0
3920,3921,336776,27,17,1,1,0,1,245,23,8,10,0
3932,3933,8371074,78,11,1,0,1,2,163,12,5,13,0
3943,3944,5453088,34,20,1,0,1,24,70,22,9,10,0
3952,3953,927040,72,0,1,1,1,5,248,10,0,13,1
3988,3989,2111682,31,19,1,0,0,49,34,25,9,14,0
4001,4002,1596742,79,15,1,0,0,43,66,2,14,14,0
4010,4011,6682611,67,16,1,1,1,17,190,14,12,10,0
4017,4018,1698437,40,10,1,1,1,32,53,13,10,11,0
4046,4047,1659986,43,11,1,0,0,29,14,14,11,11,0
4049,4050,8485097,23,18,1,1,0,10,112,13,11,14,0
4069,4070,2654218,55,15,1,0,0,49,48,20,14,14,0
4088,4089,750679,73,6,1,1,0,50,232,14,5,13,0
4102,4103,9603796,26,6,1,0,1,48,198,2,6,12,0
4109,4110,5829652,25,7,1,1,0,6,67,3,7,11,0
4121,4122,6191553,68,15,1,0,1,48,265,28,13,14,1
4136,4137,8752516,33,2,0,1,0,2,291,22,2,10,0
4153,4154,7053218,61,0,1,0,0,46,306,28,0,12,0
4154,4155,7127792,36,8,1,0,0,13,316,7,8,13,0
4179,4180,9741513,32,11,1,1,1,50,217,28,10,14,0
4201,4202,6565653,53,12,1,1,0,3,9,25,11,12,1
4210,4211,9237126,25,16,1,1,0,45,287,0,3,10,0
4219,4220,9718890,56,13,1,0,0,8,234,0,8,14,0
4221,4222,9131685,72,13,1,0,0,13,243,6,13,10,0
4228,4229,743219,54,5,1,1,0,44,116,27,5,12,1
4239,4240,5001124,46,11,1,1,1,1,117,10,11,11,0
4247,4248,8294556,72,17,1,1,0,25,162,28,13,13,0
4270,4271,4195478,52,12,1,1,0,5,225,7,5,13,0
4279,4280,6284059,45,4,1,0,0,43,305,14,4,11,0
4286,4287,8807021,26,19,1,1,0,44,312,0,3,13,0
4293,4294,4657522,59,9,1,1,0,4,214,5,4,13,0
4296,4297,4164155,24,2,1,0,0,43,53,13,2,13,0
4299,4300,6652412,30,18,1,1,1,22,53,13,7,13,0
4302,4303,254930,69,0,1,1,0,5,209,5,0,11,0
4306,4307,12608,64,19,1,0,0,37,78,27,5,11,0
4310,4311,2900446,45,20,1,1,0,36,38,11,6,10,0
4345,4346,8796254,48,17,1,1,1,14,60,20,10,14,0
4354,4355,6235492,68,6,1,0,0,12,132,2,6,12,0
4357,4358,2568817,78,5,1,1,1,9,263,13,5,14,1
4360,4361,9292764,47,0,1,1,0,45,138,25,0,12,0
4373,4374,3990809,58,12,1,1,0,33,189,6,12,11,0
4384,4385,7731935,25,3,1,0,1,4,205,14,3,13,0
4391,4392,7622856,59,5,1,1,0,30,291,22,5,11,0
4408,4409,4671113,68,13,1,1,1,49,125,15,11,13,1
4411,4412,853458,78,19,1,1,0,20,146,25,12,12,0
4430,4431,3346408,58,7,1,1,1,41,176,0,3,12,0
4432,4433,2309662,64,12,1,1,0,10,61,4,10,11,1
4434,4435,7556052,57,16,1,1,1,38,104,25,3,13,1
4444,4445,3451746,34,20,1,1,0,44,41,2,6,10,0
4446,4447,2893051,66,2,1,1,0,2,240,28,2,13,0
4447,4448,3013661,71,3,1,1,0,6,158,5,3,14,0
4467,4468,5910956,31,15,1,0,0,46,282,5,8,10,0
4485,4486,8364348,70,8,1,0,0,50,55,14,5,13,0
4511,4512,7225783,63,9,0,1,1,16,303,11,9,12,0
4520,4521,4496905,54,11,1,0,0,21,86,1,11,11,0
4563,4564,738842,38,4,1,1,0,35,10,26,4,14,0
4582,4583,2368485,27,10,1,0,0,3,156,28,7,12,0
4584,4585,4161972,41,16,1,1,0,10,113,2,9,11,0
4623,4624,4668470,67,13,1,1,0,3,145,28,9,10,0
4644,4645,9192811,28,2,1,0,1,9,154,23,2,12,0
4711,4712,5055709,57,3,1,1,0,47,170,0,3,12,1
4713,4714,8622588,45,18,1,1,0,45,1,24,3,12,1
4721,4722,7438038,33,6,1,0,0,39,288,0,6,12,0
4744,4745,4164102,63,4,0,1,0,32,291,22,4,14,0
4745,4746,7886872,62,12,1,1,0,40,162,28,8,11,0
4776,4777,2605652,55,20,1,1,0,45,176,0,9,14,0
4780,4781,5238649,42,10,1,1,1,19,34,25,4,11,0
4818,4819,1461789,69,13,1,0,0,41,69,2,13,14,0
4825,4826,7770002,25,3,1,1,1,49,13,7,3,13,0
4834,4835,1765870,39,11,1,1,0,22,149,23,11,10,1
4844,4845,7071461,48,10,1,1,0,26,191,23,4,12,0
4855,4856,1106260,39,8,1,1,0,5,241,4,8,10,1
4857,4858,1005797,34,10,1,1,0,44,141,6,10,10,1
4859,4860,4391559,52,6,1,1,0,11,251,13,6,13,0
4878,4879,4292910,70,2,0,1,0,18,54,17,2,14,0
4883,4884,9437993,77,11,1,1,0,13,96,25,11,14,0
4895,4896,9103667,54,3,0,1,0,43,121,28,3,12,0
4908,4909,7767461,65,6,1,1,0,22,94,25,6,13,0
4909,4910,7233557,41,13,1,1,0,4,159,2,11,12,0
4919,4920,3604122,49,3,1,0,0,26,41,2,3,10,1
4932,4933,5838703,76,5,1,1,1,40,57,28,5,11,0
4942,4943,5088858,51,5,1,0,0,25,44,20,5,12,0
4947,4948,3558638,63,4,1,1,0,44,30,11,4,10,0
4956,4957,2087733,27,3,1,1,0,11,18,25,3,11,0
4969,4970,5938764,62,12,1,1,1,25,270,20,12,14,0
4970,4971,5540740,76,19,1,0,0,36,45,28,7,12,0
4990,4991,2575197,72,2,1,1,0,41,63,1,2,14,1
5005,5006,8374247,25,20,1,0,0,22,301,11,4,11,0
5044,5045,926842,26,10,1,1,0,23,161,14,10,12,1
5064,5065,3972528,38,16,1,0,1,28,196,2,6,12,0
5073,5074,3386878,42,18,1,1,1,48,277,7,3,14,1
5074,5075,1169439,64,11,1,1,1,17,88,4,4,13,1
5102,5103,4304025,53,7,1,1,1,11,119,11,7,11,0
5110,5111,1928059,63,10,1,1,0,15,293,22,10,12,0
5157,5158,4591482,21,15,1,1,1,23,177,28,14,10,1
5164,5165,5218820,76,14,1,1,0,11,149,23,12,14,0
5203,5204,6094810,70,17,1,1,0,6,175,0,10,13,0
5210,5211,2158013,21,6,1,1,1,24,291,22,6,10,1
5217,5218,485180,73,15,1,1,1,48,186,25,3,13,0
5219,5220,3082162,34,18,1,0,0,37,268,11,3,10,0
5285,5286,8997552,58,8,1,0,0,11,137,2,5,11,0
5311,5312,6394243,39,13,1,1,0,3,308,6,13,13,0
5344,5345,315321,68,3,1,1,0,6,24,14,3,13,0
5350,5351,990478,26,15,1,0,0,26,4,14,5,13,0
5352,5353,9078449,79,10,1,1,1,18,75,2,8,10,0
5390,5391,1797876,76,20,1,0,0,33,91,22,11,14,0
5398,5399,6944134,59,5,1,1,0,27,106,11,5,11,0
5419,5420,4260004,27,5,1,0,0,38,254,13,5,13,0
5425,5426,8171432,69,8,1,1,1,21,9,25,6,10,1
5428,5429,6555332,56,20,1,1,0,32,206,28,4,10,0
5435,5436,6178223,46,19,1,1,1,2,146,25,11,13,0
5453,5454,6227811,60,14,1,1,0,20,274,7,12,12,0
5540,5541,2942291,50,11,1,1,0,23,307,25,4,11,0
5541,5542,6694786,69,17,1,0,0,46,191,23,11,11,1
5542,5543,470555,50,10,1,1,0,42,168,28,3,14,0
5560,5561,8645202,65,9,1,1,0,48,184,10,9,13,0
5561,5562,4945087,50,16,1,1,0,7,130,14,14,10,0
5582,5583,4334503,22,6,1,1,0,18,249,13,6,14,0
5589,5590,2433481,48,0,1,0,1,6,88,4,0,14,0
5629,5630,6220011,57,19,1,1,0,21,231,10,14,14,0
